/home/lucas_rayder7/autoresearch/TestCLI/train.py:251: UserWarning: Argument(s) 'var_limit' are not valid for transform GaussNoise
  A.GaussNoise(var_limit=(5.0, 15.0), p=0.3),
Data: xView2 directory already exists at content/data/xview2_jpeg
Metadata: Normalization statistics already cached at content/data/dataset_stats.json
Engine starting on: cuda. Configuration: {'in_channels': 6, 'f1': 32, 'f2': 64, 'f3': 128, 'f4': 256, 'f5': 512}

Step 00184 (16.3%) | Smooth Loss: 2.73040 | Img/sec: 20 | Elapsed: 147s
Step 00185 (16.4%) | Smooth Loss: 2.78777 | Img/sec: 20 | Elapsed: 148s
Step 00186 (16.5%) | Smooth Loss: 2.81255 | Img/sec: 20 | Elapsed: 148s
Step 00187 (16.6%) | Smooth Loss: 2.78611 | Img/sec: 20 | Elapsed: 149s
Step 00188 (16.7%) | Smooth Loss: 2.79518 | Img/sec: 20 | Elapsed: 150s
Step 00189 (16.8%) | Smooth Loss: 2.73748 | Img/sec: 20 | Elapsed: 151s
Step 00190 (16.8%) | Smooth Loss: 2.73915 | Img/sec: 20 | Elapsed: 152s
Step 00191 (16.9%) | Smooth Loss: 2.88504 | Img/sec: 20 | Elapsed: 152s
Step 00192 (17.0%) | Smooth Loss: 2.86133 | Img/sec: 20 | Elapsed: 153s
Step 00193 (17.1%) | Smooth Loss: 2.80796 | Img/sec: 20 | Elapsed: 154s
Step 00194 (17.2%) | Smooth Loss: 2.74645 | Img/sec: 20 | Elapsed: 155s
Step 00195 (17.3%) | Smooth Loss: 2.68375 | Img/sec: 20 | Elapsed: 155s
Step 00196 (17.4%) | Smooth Loss: 2.69475 | Img/sec: 20 | Elapsed: 156s
Step 00197 (17.4%) | Smooth Loss: 2.70132 | Img/sec: 20 | Elapsed: 157s
Step 00198 (17.5%) | Smooth Loss: 2.63824 | Img/sec: 20 | Elapsed: 158s
Step 00199 (17.6%) | Smooth Loss: 2.63514 | Img/sec: 20 | Elapsed: 159s
Step 00200 (17.7%) | Smooth Loss: 2.68705 | Img/sec: 20 | Elapsed: 159s
Step 00201 (17.8%) | Smooth Loss: 2.62784 | Img/sec: 20 | Elapsed: 160s
Step 00202 (17.9%) | Smooth Loss: 2.63986 | Img/sec: 20 | Elapsed: 161s
Step 00203 (18.0%) | Smooth Loss: 2.67171 | Img/sec: 20 | Elapsed: 162s
Step 00204 (18.1%) | Smooth Loss: 2.71265 | Img/sec: 20 | Elapsed: 162s
Step 00205 (18.1%) | Smooth Loss: 2.70288 | Img/sec: 20 | Elapsed: 163s
Step 00206 (18.2%) | Smooth Loss: 2.72079 | Img/sec: 20 | Elapsed: 164s
Step 00207 (18.3%) | Smooth Loss: 2.66879 | Img/sec: 20 | Elapsed: 165s
Step 00208 (18.4%) | Smooth Loss: 2.65771 | Img/sec: 20 | Elapsed: 166s
Step 00209 (18.5%) | Smooth Loss: 2.65975 | Img/sec: 20 | Elapsed: 166s
Step 00210 (18.6%) | Smooth Loss: 2.66614 | Img/sec: 20 | Elapsed: 167s
Step 00211 (18.7%) | Smooth Loss: 2.70983 | Img/sec: 20 | Elapsed: 168s
Step 00212 (18.7%) | Smooth Loss: 2.75806 | Img/sec: 20 | Elapsed: 169s
Step 00213 (18.8%) | Smooth Loss: 2.75744 | Img/sec: 20 | Elapsed: 169s
Step 00214 (18.9%) | Smooth Loss: 2.73944 | Img/sec: 20 | Elapsed: 170s
Step 00215 (19.0%) | Smooth Loss: 2.70466 | Img/sec: 20 | Elapsed: 171s
Step 00216 (19.1%) | Smooth Loss: 2.71409 | Img/sec: 20 | Elapsed: 172s
Step 00217 (19.2%) | Smooth Loss: 2.66361 | Img/sec: 20 | Elapsed: 173s
Step 00218 (19.3%) | Smooth Loss: 2.59367 | Img/sec: 20 | Elapsed: 173s
Step 00219 (19.4%) | Smooth Loss: 2.69108 | Img/sec: 20 | Elapsed: 174s
Step 00220 (19.4%) | Smooth Loss: 2.66546 | Img/sec: 20 | Elapsed: 175s
Step 00221 (19.5%) | Smooth Loss: 2.72529 | Img/sec: 20 | Elapsed: 176s
Step 00222 (19.6%) | Smooth Loss: 2.70711 | Img/sec: 20 | Elapsed: 177s
Step 00223 (19.7%) | Smooth Loss: 2.66722 | Img/sec: 20 | Elapsed: 177s
Step 00224 (20.1%) | Smooth Loss: 2.60304 | Img/sec: 4 | Elapsed: 181s
Step 00225 (20.1%) | Smooth Loss: 2.57200 | Img/sec: 20 | Elapsed: 181s
Step 00226 (20.2%) | Smooth Loss: 2.58991 | Img/sec: 20 | Elapsed: 182s
Step 00227 (20.3%) | Smooth Loss: 2.65506 | Img/sec: 20 | Elapsed: 183s
Step 00228 (20.4%) | Smooth Loss: 2.60313 | Img/sec: 20 | Elapsed: 184s
Step 00229 (20.5%) | Smooth Loss: 2.62999 | Img/sec: 20 | Elapsed: 184s
Step 00230 (20.6%) | Smooth Loss: 2.58403 | Img/sec: 20 | Elapsed: 185s
Step 00231 (20.7%) | Smooth Loss: 2.65123 | Img/sec: 20 | Elapsed: 186s
Step 00232 (20.7%) | Smooth Loss: 2.60910 | Img/sec: 20 | Elapsed: 187s
Step 00233 (20.8%) | Smooth Loss: 2.55429 | Img/sec: 20 | Elapsed: 188s
